player_name,player_id,total_four
"M Morkel",190,36
"Y Nagar",199,36
"S Nadeem",293,36
"VR Aaron",296,36
"DJ Harris",313,36
"Ankit Sharma",314,36
"A Ashish Reddy",325,36
"AD Russell",334,36
"TP Sudhindra",450,36
"JH Kallis",9,36
"YK Pathan",31,36
"G Gambhir",40,36
"Harbhajan Singh",50,36
"RG Sharma",57,36
"B Lee",66,36
"MK Tiwary",87,36
"R Bhatia",89,36
"SR Tendulkar",133,36
"Iqbal Abdulla",140,36
"L Balaji",151,36
"TL Suman",178,36
"SL Malinga",194,36
"AT Rayudu",208,36
"R Sathish",209,36
"KA Pollard",221,36
"AN Ahmed",246,36
"JEC Franklin",275,36
"Shakib Al Hasan",276,36
"RN ten Doeschate",284,36
"RW Price",449,36
"SK Trivedi",39,36
"DPMD Jayawardene",64,36
"S Sohal",65,36
"PP Chawla",67,36
"GC Smith",74,36
"S Sreesanth",77,36
"RR Powar",153,36
"AS Raut",169,36
"LA Carseldine",182,36
"SM Harwood",184,36
"A Singh",196,36
"YA Abdulla",215,36
"SC Ganguly",1,36
"Z Khan",15,36
"S Dhawan",42,36
"Harbhajan Singh",50,36
"DJ Bravo",71,36
"M Kartik",83,36
"I Sharma",84,36
"SR Tendulkar",133,36
"CH Gayle",162,36
"AD Mathews",191,36
"SL Malinga",194,36
"CA Pujara",203,36
"OA Shah",204,36
"R Sathish",209,36
"R McLaren",210,36
"SE Bond",220,36
"KA Pollard",221,36
"Mandeep Singh",236,36
"Harpreet Singh",287,36
"AB Dinda",106,36
"M Kartik",83,36
"R Vinay Kumar",81,36
"RP Singh",61,36
"RV Uthappa",46,36
"Yuvraj Singh",27,36
"V Kohli",8,36
"JP Faulkner",310,36
